UTC Date / Time;Date / Time;Action;Service;Protocol;Direction;Risk;Policy;Policy Type;Other Policies;Category;In;Out;Src. MAC;Src. Ip;Src. Port;Src. Name;Src. Network;Src. Region;Src. Zone;Dst. Domain;Dst. MAC;Dst. Ip;Dst. Port;Dst. Name;Dst. Network;Dst. Region;Dst. Zone;Signature;Signature ID;Bytes;Bytes Rec.;Bytes Sent;Packets;Packets Rec.;Packets Sent;Session Id;Flow Count
2025-11-18T23:44:19.463Z;Nov 19, 2025 12:44:19.463 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;79.164.76.125;16681;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:44:39.535Z;Nov 19, 2025 12:44:39.535 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;46.36.31.253;56954;;;RU;External;;;132;null;null;1;null;null;;5
2025-11-18T23:44:39.538Z;Nov 19, 2025 12:44:39.538 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;185.61.77.132;51413;;;RU;External;;;132;null;null;1;null;null;;3
2025-11-18T23:44:39.538Z;Nov 19, 2025 12:44:39.538 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;213.80.189.152;63003;;;RU;External;;;132;null;null;1;null;null;;2
2025-11-18T23:44:39.539Z;Nov 19, 2025 12:44:39.539 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;178.76.243.177;52056;;;RU;External;;;132;null;null;1;null;null;;2
2025-11-18T23:44:39.54Z;Nov 19, 2025 12:44:39.540 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;31.10.96.116;43267;;;RU;External;;;132;null;null;1;null;null;;2
2025-11-18T23:44:40.289Z;Nov 19, 2025 12:44:40.289 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;48465;UNAS 25:f4;V100;;Internal;;;178.76.243.177;52056;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:44:40.289Z;Nov 19, 2025 12:44:40.289 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;47287;UNAS 25:f4;V100;;Internal;;;46.36.31.253;56954;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:45:04.472Z;Nov 19, 2025 12:45:04.472 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;91.222.217.213;1677;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:45:16.337Z;Nov 19, 2025 12:45:16.337 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;50893;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
